Age,MSE
6940,0.0
6950,10.703928
6960,10.686015
6970,11.307984
6980,12.942862
6990,10.193627
7000,11.396164
7010,10.718918
7020,10.369303
7030,10.723661
7040,11.123425
7050,10.166272
7060,12.04748
7070,10.600492
7080,10.921899
7090,11.521949
7100,11.069805
7110,11.365684
7120,11.269177
7130,11.694028
7140,10.78346
7150,11.0928135
7160,10.47442
7170,10.77792
7180,11.288366
7190,11.6699095
7200,11.514098
7210,11.415589
7220,11.988325
7230,11.106125
7240,10.873214
7250,11.155479
7260,11.483551
7270,11.599229
7280,11.805898
7290,11.866332
7300,10.744163
7310,10.772209
7320,13.337326
7330,11.397464
7340,11.098437
7350,11.3493
7360,14.663665
7370,12.525248
7380,11.421711
7390,11.256903
7400,11.986675
7410,10.960114
7420,11.88649
7430,12.15089
7440,12.445794
7450,11.155793
7460,10.880091
7470,11.302069
7480,10.1703
7490,11.484134
7500,10.569359
7510,10.647894
7520,10.77931
7530,12.1138735
7540,10.968479
7550,13.657281
7560,14.66867
7570,11.01528
7580,13.105599
7590,13.823529
7600,11.234995
7610,11.126874
7620,10.988993
7630,12.525785
7640,10.532976
7650,10.83392
7660,11.973911
7670,11.402884
7680,14.2259245
7690,11.324092
7700,14.385945
7710,11.974164
7720,12.193115
7730,13.761803
7740,12.185721
7750,11.48924
7760,11.806482
7770,11.07376
7780,10.737852
7790,10.5799055
7800,10.8177185
7810,10.667458
7820,11.38067
7830,10.617259
7840,10.782811
7850,10.058712
7860,11.025486
7870,10.59517
7880,11.4537115
7890,10.954889
7900,11.548283
7910,10.522274
7920,10.397867
7930,11.641388
7940,10.755368
7950,11.212544
7960,11.81964
7970,10.470565
7980,10.352037
7990,11.363196
8000,13.222861
8010,10.916152
8020,11.139465
8030,11.135593
8040,10.983422
8050,11.008508
8060,12.01211
8070,10.4455595
8080,10.176225
8090,10.436326
8100,10.964942
8110,11.263115
8120,11.277557
8130,10.681505
8140,10.723628
8150,10.246873
8160,11.120674
8170,11.2465
8180,10.461063
8190,10.400353
8200,10.75521
8210,10.652745
8220,10.586899
8230,10.894095
8240,10.938171
8250,11.129687
8260,10.738134
8270,10.655245
8280,10.860068
8290,11.1075945
8300,11.805471
8310,13.736305
8320,10.829193
8330,11.405872
8340,11.433242
8350,10.27232
8360,11.467518
8370,10.501206
8380,10.420663
8390,10.649161
8400,10.746824
8410,11.042667
8420,11.430202
8430,11.163571
8440,11.224012
8450,12.705645
8460,10.793092
8470,10.867513
8480,10.177391
8490,11.057963
8500,11.033489
8510,11.957382
8520,12.08665
8530,11.571245
8540,12.642418
8550,11.517966
8560,11.629001
8570,10.6231575
8580,10.999905
8590,11.78462
8600,11.40084
8610,11.335831
8620,13.5876875
8630,10.781178
8640,11.892198
8650,10.013061
8660,12.895204
8670,10.973395
8680,10.638313
8690,11.995767
8700,10.614901
8710,10.552382
8720,11.8395
8730,12.879981
8740,10.996869
8750,10.838066
8760,11.837436
8770,11.518649
8780,10.38116
8790,3.247054e-07
