Age,MSE
6960.0,6.4329753
7020.0,7.781414
7080.0,7.888893
7140.0,7.7618704
7200.0,8.052632
7260.0,7.963316
7320.0,7.6128945
7380.0,8.2437525
7440.0,8.100838
7500.0,7.5302672
7560.0,8.2482605
7620.0,7.863694
7680.0,7.934403
7740.0,8.319785
7800.0,7.5073595
7860.0,7.480151
7920.0,7.88627
7980.0,7.8458877
8040.0,7.8980036
8100.0,7.9869833
8160.0,7.8500233
8220.0,7.864981
8280.0,7.5787587
8340.0,7.6612177
8400.0,7.7923183
8460.0,7.5594954
8520.0,8.053812
8580.0,7.679648
8640.0,7.8901815
8700.0,7.3926907
8760.0,7.487569
